7zip 25.01-1
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-18
licenses 20240728-1
lightdm 1:1.32.0-6
lilv 0.24.26-1
linux 6.17.6.arch1-1
linux-api-headers 6.16-2
linux-firmware 20251021-1
linux-firmware-amdgpu 20251021-1
linux-firmware-atheros 20251021-1
linux-firmware-broadcom 20251021-1
linux-firmware-cirrus 20251021-1
linux-firmware-intel 20251021-1
linux-firmware-mediatek 20251021-1
linux-firmware-nvidia 20251021-1
linux-firmware-other 20251021-1
linux-firmware-radeon 20251021-1
linux-firmware-realtek 20251021-1
linux-firmware-whence 20251021-1
lld 21.1.4-1
llhttp 9.2.1-2
llvm-libs 21.1.4-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
localsearch 3.10.1-1
log4cxx 1.5.0-1
lpsolve 5.5.2.11-3
lrzip 0.651-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-2
lsscsi 0.32-2
lua 5.4.8-2
lua-jsregexp 0.1.0-1
lua51-lpeg 1.1.0-4
luajit 2.1.1761727121-1
lv2 1.18.10-2
lvm2 2.03.36-1
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.1-1
md4c 0.5.2-1
mdadm 4.4-2
media-player-info 26-1
mesa 1:25.2.6-1
meson 1.9.1-2
miktex 25.4-2
miktex-debug 25.4-2
milou 6.5.1-1
mimeo 2023-13
miniupnpc 2.3.3-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-3
mkinitcpio 39.2-5
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20250613-1
mpdecimal 4.0.1-1
mpfi 1.5.4-5
mpfr 4.2.2-1
mpg123 1.33.3-1
mpv 1:0.40.0-7
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.7-1
multipath-tools 0.13.0-1
mupdf-git 20251002.1f68e3eac-1
mupdf-git-debug 20251002.1f68e3eac-1
musl 1.2.5-6
mutter 49.1.1-1
mypaint-brushes1 1.3.1-2
nano 8.6-1
nasm 3.01-1
nautilus 49.1-2
ncurses 6.5-4
ndctl 79-1
neon 0.35.0-1
neovim 0.11.4-1
nettle 3.10.2-1
network-manager-applet 1.36.0-1
networkmanager 1.54.1-1
networkmanager-openvpn 1.12.3-1
networkmanager-vpn-plugin-openvpn 1.12.3-1
nftables 1:1.1.5-1
nilfs-utils 2.2.12-1
ninja 1.13.1-2
nm-connection-editor 1.36.0-1
node-gyp 11.5.0-1
nodejs 25.1.0-2
nodejs-nopt 7.2.1-1
noto-fonts 1:2025.11.01-1
npm 11.6.2-1
npth 1.8-1
nspr 4.37-1
nss 3.117-1
ntfs-3g 2022.10.3-2
ntp 4.2.8.p18-6
numactl 2.0.19-1
nwg-look 1.0.6-1
ocean-sound-theme 6.5.1-1
ocl-icd 2.3.3-1
onboard 1.4.1-11
oniguruma 6.9.10-1
openal 1.24.3-2
opencore-amr 0.1.6-2
openexr 3.4.2-1
openh264 2.6.0-1
openjpeg2 2.5.4-1
openmp 21.1.4-1
openmpi 5.0.8-5
openpmix 5.0.9-1
openssh 10.2p1-2
openssl 3.6.0-1
openssl-1.1 1.1.1.w-2
openucx 1.19.0-3
openvpn 2.6.15-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
osinfo-db 20250606-1
ostree 2025.6-1
otf-font-awesome 7.1.0-1
otf-latin-modern-compat 2.006-1
p11-kit 0.25.10-2
pacman 7.0.0.r6.gc685ae6-6
pacman-contrib 1.13.0-1
pacman-mirrorlist 20251021-1
pam 1.7.1-1
pambase 20250719-1
pango 1:1.57.0-2
pangomm 2.46.4-1
pangomm-2.48 2.56.1-1
parsec-bin 150_97c-1
parted 3.6-2
patch 2.8-1
pavucontrol 1:6.2-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
perl 5.42.0-1
perl-clone 0.47-2
perl-encode-locale 1.05-14
